qna_code,primary_question,parent_id,depth,quickmenu_label,user,domain,category,subcategory,question_sample,answer_sample,links,utm,follow_question1,follow_question2,follow_question3,follow_question4,follow_question5_formoreinformation,default_quickmenu,default_answer_type,default_answer_prompt,notes
kp_vis_regist_010,,,,-,visitor,참관등록,,,QR코드를 못받아봤어요,"못받아보신 경우, KIMES 앱에 로그인 하시면 확인하실 수 있습니다",,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_011,,ko1,3,아이디 찾기,visitor,참관등록,로그인,,아이디를 까먹어서 찾고 싶어요,아이디 찾기는 사무국으로 문의해주세요,,,,km_vis_regist_015,km_vis_regist_016,km_vis_regist_017,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_012,,ko1,2,비밀번호 찾기,visitor,참관등록,,,비밀번호를 까먹어서 찾고 싶어요,"비밀번호 찾기는 홈페이지 내 비밀번호 찾기 버튼으로 가능합니다 
기존에 등록해주신 아이디와 이름을 입력하시면 이메일로 임시비밀번호 메일이 발송됩니다",https://kimes.kr/ko/auth/login/visitor,?utm_source=bot&utm_medium=button&utm_campaign=w4sj3b_46030_general,km_vis_regist_011,km_vis_regist_015,km_vis_regist_016,km_vis_regist_017,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_013,,,,-,visitor,참관등록,,,비밀번호 변경해주세요,개인정보처리방침에 의해 사무국에서 패스워드를 변경해드릴 수 없습니다.,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_014,,,,-,visitor,참관등록,,,아이디에 오타를 냈어요,아이디 변경은 불가능하며 사무국으로 문의 주시면 기존 아이디 탈퇴처리 후 다시 등록 안내드리겠습니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_015,,ko1,3,아이디 변경,visitor,참관등록,,,아이디를 변경하고 싶어요,아이디 변경은 불가능하며 새로운 아이디로 다시 등록 부탁드립니다,,,km_vis_regist_011,,km_vis_regist_016,km_vis_regist_017,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_016,,ko1,3,비밀번호 변경,visitor,참관등록,,,비밀번호를 변경하고 싶어요,홈페이지 내 로그인 후 마이페이지에서 패스워드 변경 가능합니다,https://kimes.kr/ko/auth/login/visitor,?utm_source=bot&utm_medium=button&utm_campaign=w4sj3b_46030_general,km_vis_regist_011,km_vis_regist_015,,km_vis_regist_017,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_017,,ko1,3,참관예상날짜,,참관등록,참관예상날짜,,참관예상날짜가 변경되도 괜찮나요?,수요를 위해 파악하는 내용으로 선택해주신 날짜 외에 방문해주셔도 됩니다 수정은 마이페이지에서 가능합니다,,,km_vis_regist_011,km_vis_regist_015,km_vis_regist_016,,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_invitation_001,,ko2,2,초청장,visitor,초청장,지류 초청장,사용방법,종이 초청장은 어떻게 사용할 수 있나요?,"현장 등록대에서 결제가 필요하신 경우, 종이 초청장을 제시하시면 무료로 입장 가능합니다",,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_invitation_003,,,,-,visitor,초청장,모바일 초청장,,모바일 초청장은 없나요?,"종이 초청장을 대체하는 모바일 초청장은 존재하지 않습니다 
무료 기간 내 홈페이지 통하여 등록바랍니다",,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_001,,ko3,2,수령 위치,visitor,입장,출입증,,출입증은 어디서 수령 가능한가요?,전시회 각 홀 출입구에서 수령 가능합니다,,,km_vis_entry_006,km_vis_entry_015,km_vis_event_001,km_vis_event_005,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_002,,,,-,visitor,입장,,,출입증은 언제부터 수령 가능한가요?,9시 30분부터 수령 가능합니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_003,TRUE,ko3,1,출입증 수령,visitor,입장,,,출입증은 어떻게 수령 하나요?,등록대에서 받아보신 QR코드를 보여주시면 출입증으로 교환해드립니다,,,km_vis_entry_001,km_vis_entry_014,km_vis_entry_016,km_vis_entry_019,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_005,,,,-,visitor,입장,미성년자,,미성년자 입장 가능한가요?,"B2B 전문 전시회이다보니 미성년자 입장을 제한하고 있습니다. 
다만 부모님 또는 보호자 동반할 경우 입장 가능합니다. 
상담 분위기 확보를 위해 교복 착용은 자제 부탁드립니다",,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_006,,ko3,3,입장 마감,visitor,입장,입장 마감,,입장은 언제까지 가능한가요?,"전시회 종료 30분 전에 입장이 마감되오니, 시간 여유를 두시고 방문해주세요",,,,km_vis_entry_015,km_vis_event_001,km_vis_event_005,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_007,,,,-,visitor,입장,애견 동반,,애견 동반 가능한가요?,B2B 전문 전시회이다보니 애견 동반을 제한하고 있습니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_009,,,,-,visitor,입장,무료입장 대상,,군인은 무료 입장 또는 할인 가능한가요?,네 무료 입장 가능합니다. 현장 유인 등록대에서 등록해주세요,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_010,,,,-,visitor,입장,,,경찰은 무료 입장 또는 할인 가능한가요?,네 무료 입장 가능합니다. 현장 유인 등록대에서 등록해주세요,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_011,,,,-,visitor,입장,,,장애인은 무료 입장 또는 할인 가능한가요?,네 무료 입장 가능합니다. 현장 유인 등록대에서 등록해주세요,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_012,,,,-,visitor,입장,,,60세 이상 무료 입장 또는 할인 가능한가요?,불가능합니다. 현장 등록대를 이용해주세요,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_013,,,,-,visitor,입장,,,국가유공자 무료 입장 또는 할인 가능한가요?,불가능합니다. 현장 등록대를 이용해주세요,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_014,,ko3,2,재입장,visitor,입장,재입장,,전시회 참관 후 잠시 나갔다가 다시 들어와도 되나요?,출입증 소지 시 재입장 가능합니다. 항상 패용하여 주세요,,,km_vis_entry_006,km_vis_entry_015,km_vis_event_001,km_vis_event_005,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_015,,ko3,3,재방문,visitor,입장,,,하나의 출입증으로 다른 날에 와도 되나요?,다른 날짜에 방문하시는 경우 정보 조회를 통해 새롭게 출입증 발급받으신 후 입장 가능합니다.,,,km_vis_entry_006,,km_vis_event_001,km_vis_event_005,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_016,,ko3,2,-,visitor,입장,참관확인서,,회사 제출을 위해 참관확인서가 필요합니다,"전시회 종료 후 출입 여부 조회 후 발급 가능합니다.
info@eandex.co.kr로 소속/이름/직함/주소를 보내주세요",,,km_vis_entry_006,km_vis_entry_015,km_vis_event_001,km_vis_event_005,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_017,,,,-,visitor,입장,,,부대 제출을 위해 참관확인서가 필요합니다,"전시회 종료 후 출입 여부 조회 후 발급 가능합니다.
info@eandex.co.kr로 소속/이름/직함/주소를 보내주세요",,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_018,,,,-,visitor,입장,,,기관 제출을 위해 참관확인서가 필요합니다,"전시회 종료 후 출입 여부 조회 후 발급 가능합니다.
info@eandex.co.kr로 소속/이름/직함/주소를 보내주세요",,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_019,,ko3,2,참관확인서,visitor,입장,,,전시회를 보러 왔다는 증명 서류가 필요합니다,"전시회 종료 후 출입 여부 조회 후 발급 가능합니다.
info@eandex.co.kr로 소속/이름/직함/주소를 보내주세요",,,km_vis_entry_006,km_vis_entry_015,km_vis_event_001,km_vis_event_005,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_entry_020,,,,입장시간,,입장,,,전시회 몇시부터 몇시까지인가요?,"오전 10시에서 오후 6시까지이며 3월 22일(일)은 오후 5시 마감입니다.
마감 30분전까지만 입장가능하여 이 점 참고 부탁드립니다.",,,,,,,,,,,
kp_vis_event_001,,ko3,3,경품이벤트,visitor,이벤트,경품 이벤트,,경품이벤트 위치가 어디인가요?,3층 D홀 내부/E홀 옆 이벤트관에서 진행하고 있습니다,,,km_vis_entry_006,km_vis_entry_015,km_vis_event_002,km_vis_event_005,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_event_002,,ko3,4,-,visitor,이벤트,,,경품 종류는 어떻게 되나요?,"순금1돈, 에어팟, 백화점상품권, 스타벅스 카드, KIMES 기념품이 준비되어 있습니다",,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_event_003,,,,-,visitor,이벤트,,,참가업체도 참가 가능한가요?,참관객 대상으로 진행되는 이벤트라서 불가능합니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_event_004,,,,-,visitor,이벤트,,,중복해서 참가할 수 있나요?,1인당 각 홀에서 하루에 한 번씩 참여 가능합니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_event_005,,ko3,3,걷기 이벤트,visitor,이벤트,만보기 이벤트,,걷기이벤트는 어떻게 참가할 수 있나요?,"KIMES 앱을 설치하시고, 걷기 이벤트 페이지에 진입하여 활성화해주세요",,,km_vis_showinfo_001,km_vis_entry_006,km_vis_entry_015,km_vis_event_001,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_event_006,,,,-,visitor,이벤트,,,리워드를 받지 못했는데 초기화 되었습니다,공지드린 안내대로 매일 00시 기준 초기화 됩니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_event_007,,,,-,visitor,이벤트,,,캡쳐한 내용으로는 못 받나요?,어플 내에서 리워드 수령하신 분 대상으로 추첨합니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_event_008,,,,-,visitor,이벤트,,,스마트폰 단말기 걸음과 KIMES APP 내 걸음이 다릅니다,"기기 사용 상태와 스마트워치 사용여부 등 실제와 다를 수 있습니다.
이벤트 페이지 내 조치사항을 실행해주세요",,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_event_009,,,,-,visitor,이벤트,,,만보기 이벤트에 접속이 되지 않습니다,설정 내 권한이 이벤트 참여가 가능한지 확인해주세요,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_event_010,,,,-,visitor,이벤트,,,참가업체도 참가 가능한가요?,참관객 대상으로 진행되는 이벤트라서 불가능합니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_event_011,,,,-,visitor,이벤트,도슨트 투어,,전시장을 순회하는 도슨트 투어가 있나요?,"별도로 운영되는 도슨트투어는 없습니다 
KIMES 앱을 설치하시고 관심기업 및 제품을 등록하셔서 전시회를 즐겨보세요!",,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_event_012,,,-,-,visitor,이벤트,,,경품은 언제 받을 수 있나요?,전시회 종료 후 2-3주 이내 추첨을 통해 문자로 안내드릴 예정입니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_001,,ko4,2,혼잡도 확인,visitor,오시는 길,주차,주차 장소,주차장 혼잡도를 확인하고 싶어요,코엑스에서 제공하는 혼잡도 정보를 확인하세요,https://www.coex.co.kr/guide/parking-information/infomation/,,km_vis_trans_011,km_vis_trans_017,km_vis_trans_018,km_vis_trans_019,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_002,,,,-,visitor,오시는 길,,,정확하게 코엑스 주차장의 어느 입구로 가야하나요?,코엑스 지하주차장은 연결되어 있으므로 어느 입구로 들어오셔도 관계없습니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_003,,,,-,visitor,오시는 길,,,전시회장과 가장 가까운 주차장이 어디인가요?,코엑스 지하주차장 퍼플 또는 블루 주차장에 주차해주세요,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_004,TRUE,ko4,1,주차,visitor,오시는 길,,주차비용,주차 비용이 어떻게 되나요?,"승용차: 15분마다 1,500원, 일일 주차 60,000원
화물차(2.5t 이상 승용차): 15분마다 3,000원, 일일 주차 120,000원
대형버스: 주차장 이용불가",,,km_vis_trans_001,km_vis_trans_010,km_vis_trans_013,,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_005,,,,-,visitor,오시는 길,,,무료 출차시간이 있나요?,Grace Time: 입차 후 20분 이내 출차 차량 주차료 면제됩니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_007,,,,-,visitor,오시는 길,,주차할인,전시회 참관객 대상 주차할인이 있나요?,"전시장 각 홀 입구에 있는 카카오T 배너 QR 스캔 후 차량번호 기입하면 일일주차 60,000원에서 30,000원으로 할인 가능합니다",,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_008,,,,-,visitor,오시는 길,,,"장애인, 국가유공자 할인이 있나요?","장애인, 국가유공자는 주차요금 50% 할인됩니다",,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_009,,,,-,visitor,오시는 길,,,"카카오T 주차로 모바일 결제 시, 할인 가능한가요?","1시간 4,800원으로 이용가능합니다.(개인카드만 가능)",,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_010,,ko4,2,할인정보,visitor,오시는 길,,,전시회 참관객 대상 무료 주차 제공이 있나요?,"별도로 제공되는 내용은 없습니다 
전시장 각 홀 입구에 있는 카카오T 배너 QR 스캔 후 차량번호 기입하면 일일주차 60,000원에서 30,000원으로 할인 가능합니다",,,km_vis_trans_011,km_vis_trans_017,km_vis_trans_018,km_vis_trans_019,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_011,,ko4,3,전기차 주차,visitor,오시는 길,,전기차 주차,전기차 주차가 가능한가요?,코엑스 지하3층 라이브존 주차장과 옥상 주차장에서 가능합니다,,,,km_vis_trans_017,km_vis_trans_018,km_vis_trans_019,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_012,,,,-,visitor,오시는 길,,주차고객 서비스센터,주차고객 서비스센터 위치는 어디인가요?,1F 코엑스 동문 방향에서 데블스도어 매장 뒤편입니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_013,,ko4,2,주차 고객센터,visitor,오시는 길,,,주차고객 서비스센터 연락처는 어떻게 되나요?,02-6002-7130입니다(운영시간 : 9:00 ~ 19:00 (주말 및 공휴일 10:00 ~ 19:00)),,,km_vis_trans_011,km_vis_trans_017,km_vis_trans_018,km_vis_trans_019,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_014,,,,-,visitor,오시는 길,,주차고객 현장지원실,주차고객 현장지원실 위치는 어디인가요?,지하 2층 44N 구역입니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_015,,,,-,visitor,오시는 길,,,주차고객 현장지원실 연락처는 어떻게 되나요?,02-6000-7514입니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_trans_016,,,,-,visitor,오시는 길,셔틀버스,,셔틀버스는 운영 되나요?,별도로 운영되는 내용은 없습니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
